University of Nebraska-Lincoln Police,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10
17001380,NARCOTICS - POSSESSION,4/9/2017 0:33,Closed - Cleared by Arrest-Adult,4/9/2017 0:33,,Selleck Quad,600 N 15th St (UNL RESIDENCE HALL),$0.00,$0.00,A report of possible narcotic activity occurring in a university dorm room. A Nebraska student was cited/released for Possession of Marijuana < 1oz and Possession of Drug Paraphernalia.
17001381,LARCENY - STOLEN BIKE,4/9/2017 1:30,Closed - Inactive,4/6/2017 15:20,4/9/2017 1:15,Oldfather Hall,660 N 12th St (SIDEWALK),$480.00,$0.00,A Nebraska student his bike being stolen from the bike racks near Old Father Hall. Investigation continues.
17001383,ALCOHOL - MINOR IN POSSESSION,4/9/2017 3:53,Closed - Cleared by Arrest-Adult,4/9/2017 3:53,,Pound Hall,513 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,A report of an intoxicated female near Pound Hall. A Nebraska student was cited/released for MIP-C and turned over to a sober friend.
17001388,NARCOTICS - POSSESSION,4/9/2017 23:24,Closed - Cleared by Arrest-Adult,4/9/2017 23:24,,1220 N. 14th,(GOV'T PARKING LOT (UNL)),$0.00,$0.00,"While patrolling a university parking lot, a UPD Officer contacted three Nebraska students in a parked vehicle. One student was cited/released for Possession of Marijuana < 1oz and Possession of Drug Paraphernalia."
17001391,NARCOTICS - POSSESSION,4/10/2017 5:07,Closed - Cleared by Arrest-Adult,4/10/2017 5:07,,Selleck Quad,600 N 15th St (SIDEWALK),$0.00,$0.00,A Nebraska student was placed into custody due to outstanding warrants. During a search incident to arrest a marijuana grinder with residue was discovered. The student was cited/released for Possession of Drug Paraphernalia.
17001392,ACCIDENTS - P.D. H&R NOT REPORTABLE,4/10/2017 9:48,Closed - Inactive,,,Abel Hall,"880 N 17th St (UNL SUPPORT FACILITY (office, service))",$0.00,"$1,000.00",Damage to Abel Food Service building possible done by vehicle.
17001393,BURGLARY,4/10/2017 12:42,Closed - Inactive,4/7/2017 14:00,4/10/2017 9:00,Woods Art Building,1140 R St (UNL ACADEMIC BUILDING),"$1,699.00",$0.00,Items taken from room of UN Building $1689 loss.
17001394,LARCENY - STOLEN BIKE,4/10/2017 12:55,Closed - Inactive,3/4/2017 19:00,4/10/2017 12:30,Abel Hall,880 N 17th St (UNL RESIDENCE HALL),$500.00,$0.00,University student reported his black bike (Giant Escape) stolen from the racks south of the Abel Welcome Center. No suspects at this time.
17001395,ALCOHOL - DRUNK,4/10/2017 14:02,Closed - Non-Criminal Case,4/10/2017 14:02,,Business Administration Building,"512 N 12th St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Non UN person taken to The Bridge with a BAC of .218.
17001407,DISTURBANCE - OTHER,4/10/2017 16:00,Closed - Non-Criminal Case,4/9/2017 0:00,,N/A,(INTERNET/CYBERSPACE),$0.00,$0.00,A student reported that a text message she sent was shared on social media.
17001399,LARCENY - STOLEN BIKE,4/10/2017 16:20,Closed - Cleared by Arrest-Adult,4/10/2017 16:07,4/10/2017 16:17,National Agroforestry Center - USDA,"1945 N 38th St (UNL SUPPORT FACILITY (office, service))",$820.00,$0.00,"Staff member reported their bike stolen, $800 loss."
17001401,NARCOTICS - POSSESSION,4/10/2017 19:38,Closed - Cleared by Arrest-Adult,4/10/2017 19:38,,Selleck Quad,600 N 15th St (UNL RESIDENCE HALL),$0.00,$0.00,A report of possible narcotic activity at Selleck Hall. A Nebraska student was cited/released for Possession of Marijuana < 1oz. and Possession of Drug Paraphernalia.
17001403,ALCOHOL - MINOR IN POSSESSION,4/11/2017 0:16,Closed - Cleared by Arrest-Adult,4/11/2017 0:16,,Sandoz Hall,820 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,A report of an intoxicated female at Sandoz Hall. A Nebraska student was placed into Civil Protective Custody due to Alcohol intoxication and transported to The Bridge for further care.
17001404,LARCENY - STOLEN BIKE,4/11/2017 7:42,Closed - Inactive,4/3/2017 12:00,4/11/2017 7:00,Henzlik Hall,1430 Vine St (UNL ACADEMIC BUILDING),$415.00,$0.00,Bicycle stolen from the bike racks on the south side of the building.
17001405,FRAUD - CREDIT CARDS/ATM/BANK CARD,4/11/2017 7:55,Closed - Inactive,3/21/2017 8:43,,Nebraska Union,"1400 R St (UNL SUPPORT FACILITY (office, service))","$5,198.00",$0.00,Two laptops purchased with a fraudulent credit card.
17001406,FRAUD - CREDIT CARDS/ATM/BANK CARD,4/11/2017 7:55,Closed - Inactive,3/28/2017 10:02,,Nebraska Union,"1400 R St (UNL SUPPORT FACILITY (office, service))","$4,498.00",$0.00,Two laptops purchased with a fraudulent credit card.
17001409,VANDALISM - OTHER,4/11/2017 9:03,Closed - Inactive,4/10/2017 7:55,4/10/2017 19:30,N/A,N 16TH ST & X ST (GOV'T PARKING LOT (UNL)),$0.00,$200.00,Damage to a University employee's tire.
17001426,FRAUD - CREDIT CARDS/ATM/BANK CARD,4/11/2017 13:00,Closed - Inactive,4/11/2017 12:39,,Nebraska Union,"1400 R St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Interview of Walbrecht
17001414,LARCENY - STOLEN BIKE,4/11/2017 13:43,Closed - Inactive,4/7/2017 12:00,4/9/2017 15:00,Schramm Hall,1130 N 14th St (SIDEWALK),"$1,520.00",$0.00,"Bike and cable lock taken, $1520 loss."
17001420,ALCOHOL - DRUNK,4/11/2017 21:52,Closed - Inactive,4/11/2017 21:52,,19th/Vine Parking Garage,1830 Vine St (GOV'T PARKING GARAGE (UNL)),$0.00,$0.00,"Non UN affiliate contacted for asking student for money, given Ban and Bar and turned over to staff at the Bridge."
17001423,TRESPASSING,4/11/2017 23:50,Closed - Cleared by Arrest-Adult,4/11/2017 23:50,,Schramm Hall,1130 N 14th St (UNL RESIDENCE HALL),$15.00,$0.00,"A non-affiliate was arrested after entering several motor vehicles.  Cited/released for Theft, and Trespassing.  Lodged on an out of county warrant.  Trespass policy letter issued."
17001432,LARCENY - STOLEN BIKE,4/12/2017 19:14,Closed - Non-Criminal Case,4/12/2017 15:00,4/12/2017 19:00,Pound Hall,513 N 17th St (SIDEWALK),$195.00,$0.00,Thief of bike.
17001434,LOST OR STOLEN ITEM,4/12/2017 19:40,Closed - Non-Criminal Case,,,Burnett Hall,"1220 T St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Student reported the loss of their wallet.
17001435,LARCENY - STOLEN BIKE,4/12/2017 20:28,Closed - Inactive,4/10/2017 17:00,4/12/2017 20:15,Hardin Hall,1600 N 33rd St (UNL ACADEMIC BUILDING),$175.00,$0.00,Student reported items missing from their bike.
17001422,ALCOHOL - DRUNK,4/12/2017 23:49,Closed - Non-Criminal Case,4/12/2017 23:49,,Architecture Hall West,400 Stadium Dr (UNL ACADEMIC BUILDING),$0.00,$0.00,A report of an intoxicated male laying on the sidewalk near Architecture Hall. The non-affiliate was transported to The Bridge for alcohol intoxication. A hold was placed on him due to an active warrant.
17001439,ALCOHOL - DRUNK,4/13/2017 2:55,Closed - Non-Criminal Case,4/13/2017 2:55,,Andersen Hall,200 Centennial Mall N (GOV'T PARKING LOT (UNL)),$0.00,$0.00,A non-affiliate was transported to The Bridge with a BAC of .210.
17001441,LOST OR STOLEN ITEM,4/13/2017 6:52,Closed - Inactive,2/2/2015 7:00,4/13/2017 6:00,Behlen Laboratory,"500 Stadium Dr (UNL SUPPORT FACILITY (office, service))",$300.00,$0.00,UPD received the belated report of a lost/stolen/misplaced box fan unit.
17001443,PORNOGRAPHY,4/13/2017 8:00,Closed - Cleared by Arrest-Adult,4/8/2017 16:36,4/8/2017 22:50,N/A,(INTERNET/CYBERSPACE),$0.00,$0.00,Investigation into sexually explicit material being downloaded utilizing UNL computer resources.
17001444,ACCIDENTS - P.D. H&R NOT REPORTABLE,4/13/2017 11:04,Closed - Inactive,1/27/2017 17:00,2/10/2017 15:30,The 50-50,1801 R St (GOV'T PARKING GARAGE (UNL)),$0.00,$750.00,Belated reported of hit and run occurring on the 2nd or 3rd level.
17001445,ACCIDENTS - P.D. H&R NOT REPORTABLE,4/13/2017 12:19,Closed - Inactive,3/19/2017 8:00,3/31/2017 18:00,N/A,(UNKNOWN),$0.00,$800.00,Staff member reported hit and run accident.
17001449,FRAUD - CREDIT CARDS/ATM/BANK CARD,4/13/2017 13:54,Closed - Cleared by Arrest-Adult,4/13/2017 13:54,,Nebraska Union,"1400 R St (UNL SUPPORT FACILITY (office, service))","$4,824.00",$0.00,"Two non affiliated persons lodged in jail for Possession of a Financial Transaction Device, Unauthorized Use of Financial Transaction Device, Possession of Controlled Substance, Resisting arrest, False Information and False ID."
17001451,VANDALISM - OTHER,4/13/2017 15:43,Closed - Inactive,,,Othmer Hall,820 N 16th St (UNL ACADEMIC BUILDING),$0.00,$20.00,Staff member reported Vandalism to projector screen in classroom.
17001452,LARCENY - STOLEN BIKE,4/13/2017 16:43,Closed - Inactive,4/7/2017 19:00,4/8/2017 10:00,Westbrook Music Building,1104 R St (SIDEWALK),$700.00,$30.00,Student reported his bike stolen.
17001466,OUTSIDE - O.P.S. OTHER,4/14/2017 10:40,Closed - Cleared by Exception,4/13/2017 11:44,,UNL Police,"300 N 17th St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Request by Secret service in attempting to locate computer used in a threat.
17001467,LARCENY - STOLEN BIKE,4/14/2017 11:48,Closed - Inactive,4/12/2017 11:30,4/14/2017 8:00,The Robert E. Knoll Residential Center,440 N 17th St (UNL RESIDENCE HALL),$315.00,$0.00,University student reported the theft of their bicycle.
17001471,DISTURBANCE - OTHER,4/14/2017 12:00,Closed - Inactive,,,N/A,(UNKNOWN),$0.00,$0.00,"UPD became aware of videos/images of concern (non-threatening) while processing a cellular telephone per a search warrant on a separate, but related, case."
17001475,LARCENY - SHOPLIFTING,4/14/2017 19:29,Closed - Cleared by Arrest-Adult,4/14/2017 19:23,,The Robert E. Knoll Residential Center,440 N 17th St (UNL RESIDENCE HALL),$3.00,$0.00,Report of theft from C Store.
17001476,ASSAULT - DOMESTIC,4/14/2017 22:50,Closed - Cleared by Arrest-Adult,4/14/2017 22:50,,N/A,N 16TH ST & S ST (SIDEWALK),$0.00,$0.00,A student was cited/lodged for Terroristic Threats and Domestic Assault (3rd degree).  Cited/released for Assault (3rd degree).
17001479,ALCOHOL - DRUNK,4/15/2017 4:08,Closed - Non-Criminal Case,4/15/2017 4:08,,Kauffman Academic Residential Center,630 N 14th St (UNL RESIDENCE HALL),$0.00,$0.00,A 22 year old student was placed into civil protective custody and transported to The Bridge with a BAC of .252.
17001488,DISTURBANCE - OTHER,4/15/2017 17:13,Closed - Inactive,4/14/2017 19:00,,N/A,N 14TH ST & R ST (SIDEWALK),$0.00,$0.00,University of Nebraska student reported receiving disturbing emails. Investigation to continue.
17001494,ALCOHOL - MINOR IN POSSESSION,4/16/2017 0:36,Closed - Cleared by Arrest-Adult,4/16/2017 0:36,,University Suites,1780 R St (SIDEWALK),$0.00,$0.00,"UPD officers were dispatched to a intoxicated person call on university property. Two non-affiliates and one Nebraska student were cited and released for MIP-C. One of the individuals was transported to an local area hospital and then to The Bridge for further care due to the high level of alcohol intoxication. BAC's were .127, .205 and .210"
17001495,ALCOHOL - MINOR IN POSSESSION,4/16/2017 1:02,Closed - Cleared by Arrest-Adult,4/16/2017 1:02,,Harper Hall,1150 N 14th St (UNL RESIDENCE HALL),$0.00,$0.00,A 19 year old student was placed into civil protective custody and transported to The Bridge with a BAC of .310.  Cited/released for MIP.
17001497,MEDICAL EMERGENCY,4/16/2017 2:47,Closed - Non-Criminal Case,4/16/2017 2:47,,Abel Hall,880 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,An 18 year old student was transported to a hospital by LFR after suffering non-life threatening symptoms consistent with alcohol poisoning.  No BAC available.
17001498,ALCOHOL - MINOR IN POSSESSION,4/16/2017 3:00,Closed - Cleared by Arrest-Adult,4/16/2017 3:00,,N/A,(UNL RESIDENCE HALL),$0.00,$0.00,An 18 year old non-affiliate was cited/released to The Bridge for MIP-C with a partial BAC of .133.
17001499,ALCOHOL - DRUNK,4/16/2017 3:04,Closed - Non-Criminal Case,4/16/2017 3:04,,The Village,1055 N 16th St (SIDEWALK),$0.00,$0.00,A report of an intoxicated male on campus. The non-affiliate was placed into civil protective custody due to alcohol intoxication and transported to The Bridge for further care.
17001490,NARCOTICS - POSSESSION,4/16/2017 20:17,Closed - Cleared by Arrest-Adult,4/16/2017 20:17,,The Village,1055 N 16th St (UNL APARTMENT),$0.00,$0.00,Non affiliate arrested for Possession of K2 or Marijuana less than one oz.
17001503,LARCENY - STOLEN BIKE,4/16/2017 20:39,Closed - Inactive,4/14/2017 13:30,4/16/2017 19:30,Cather Hall,609 N 17th St (SIDEWALK),$440.00,$0.00,A Nebraska student reported a belated theft of their bicycle just north of Cather Hall. Investigation is ongoing.
17001505,VANDALISM - OTHER,4/16/2017 23:22,Closed - Inactive,4/15/2017 20:00,4/16/2017 22:15,Facilities Management Shops,942 N 22nd St (STREET),$0.00,$400.00,A belated report of damage to a university vehicle. A faculty member reported a broken window to a university vehicle in the area of N. 22nd St. Investigation continues.
17001510,FRAUD - CREDIT CARDS/ATM/BANK CARD,4/17/2017 13:10,Closed - Inactive,3/21/2017 11:53,,Nebraska Union,"1400 R St (UNL SUPPORT FACILITY (office, service))","$5,574.00",$0.00,Non-university affiliate used a fraudulent credit card to make a purchase on campus.
17001512,ACCIDENTS - P.D. H&R NOT REPORTABLE,4/17/2017 15:06,Closed - Cleared by Arrest-Adult,4/17/2017 8:20,4/17/2017 11:30,14th & Avery Parking Garage,1111 N 14th St (GOV'T PARKING GARAGE (UNL)),$0.00,$400.00,Student reported hit and run to their vehicle.
17001515,ACCIDENTS - P.D. NOT REPORTABLE,4/17/2017 16:20,Closed - Non-Criminal Case,4/17/2017 13:00,4/17/2017 16:00,N/A,3721 East Campus Loop (GOV'T PARKING LOT (UNL)),$0.00,"$2,000.00",UN staff members reported two vehicle non injury accident.
17001518,LOST OR STOLEN ITEM,4/17/2017 18:53,Closed - Non-Criminal Case,4/17/2017 16:45,4/17/2017 16:50,Burnett Hall,1220 T St (UNKNOWN),$500.00,$0.00,Student reported losing their phone.
17001519,DISTURBANCE - OTHER,4/17/2017 19:20,Closed - Inactive,4/17/2017 19:20,,Love Library North & Link,1300 R St (SIDEWALK),$0.00,$0.00,Non affiliate contacted for doing bike tricks on campus.
17001522,ALCOHOL - DRUNK,4/17/2017 22:08,Closed - Non-Criminal Case,4/17/2017 22:08,,N/A,N 17TH ST & R ST (SIDEWALK),$0.00,$0.00,"A report of an intoxicated female walking near campus. The female, a Nebraska student was placed into civil protective custody due to alcohol intoxication and transported to The Bridge for further care."
17001525,ALCOHOL - MINOR IN POSSESSION,4/18/2017 1:18,Closed - Cleared by Arrest-Adult,4/18/2017 1:18,,N/A,N 17TH ST & W ST (SIDEWALK),$0.00,$0.00,"A report of an intoxicated female walking near campus. The female, a Nebraska student was cited/released for MIP-C and transported to The Bridge for further care."
17001526,SS - CHECK WELFARE OF PERSON,4/18/2017 1:34,Closed - Non-Criminal Case,4/18/2017 1:34,,Sandoz Hall,820 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,Welfare check of a student referencing possible suicide. The student was contacted/interviewed and deemed to not be an immediate danger to himself or others.
17001527,LARCENY - STOLEN BIKE,4/18/2017 10:10,Closed - Cleared by Arrest-Adult,4/11/2017 10:30,4/18/2017 8:45,Pound Hall,513 N 17th St (UNL RESIDENCE HALL),$800.00,$0.00,A University student reported the theft of his bicycle from the bicycle racks outside of UNL Pound Hall.
17001536,MEDICAL EMERGENCY,4/18/2017 20:18,Closed - Non-Criminal Case,4/18/2017 20:04,,Nebraska Union,"1400 R St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Non affiliate hurt ankle.
17001540,SS - CHECK WELFARE OF PERSON,4/18/2017 23:49,Closed - Non-Criminal Case,4/18/2017 23:49,,The 50-50,1801 R St (MULTI-DWELLING (7 + UNITS) off campus),$0.00,$0.00,A report of a possible suicidal party at the 50/50 building. Contact was made with the individual and found not to be a danger to themselves or others at this time.
17001545,LARCENY - FROM BUILDING,4/19/2017 13:59,Closed - Inactive,4/18/2017 18:00,4/19/2017 13:00,Miller Hall,"1675 Arbor Dr (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Staff member reported computer and other items stolen.
17001547,LOST OR STOLEN ITEM,4/19/2017 19:59,Closed - Inactive,4/18/2017 8:30,4/18/2017 16:30,Nebraska Hall,"900 N 16th St (UNL SUPPORT FACILITY (office, service))",$300.00,$0.00,University staff reported their wallet missing from their office.
17001548,FRAUD - CREDIT CARDS/ATM/BANK CARD,4/19/2017 20:34,Closed - Inactive,4/18/2017 15:10,4/18/2017 17:44,Nebraska Hall,900 N 16th St (DEPT/CHAIN STORE),$0.00,$0.00,"University staff member reported her wallet was taken and her credit cards subsequently used fraudulently at various stores in Lincoln, Nebraska. Investigation to continue."
17001554,FRAUD - CREDIT CARDS/ATM/BANK CARD,4/20/2017 9:23,Closed - Inactive,3/31/2017 15:41,,Nebraska Union,"1400 R St (UNL SUPPORT FACILITY (office, service))","$4,848.00",$0.00,Non-university affiliate made a fraudulent credit card purchase on campus.
17001555,SS - CHECK WELFARE OF PERSON,4/20/2017 10:14,Closed - Non-Criminal Case,,,N/A,(UNKNOWN),$0.00,$0.00,Non-university affiliate made self harm statements through email to professor.
17001556,OUTSIDE - O.P.S. OTHER,4/20/2017 12:28,Closed - Inactive,3/31/2017 0:00,4/17/2017 10:00,Abel Hall,880 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,OPS report for a university student who reported their bike stolen to LPD first.
17001557,STALKING,4/20/2017 13:21,Closed - Cleared by Arrest-Adult,2/1/2016 14:59,4/20/2017 13:21,Theodore Jorgensen Hall,"855 N 16th St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,University of Nebraska Faculty member reports receiving 100's of emails and multiple unwanted contacts from a non University Affiliate. Investigation to continue.
17001558,ACCIDENTS - P.D. H&R REPORTABLE,4/20/2017 14:07,Closed - Cleared by Arrest-Adult,4/20/2017 14:00,4/20/2017 14:07,Kappa Kappa Gamma,616 N 16th St (OFF CAMPUS/GREEK HOUSING),$0.00,$300.00,University of Nebraska student on a bicycle was hit by a vehicle near Kappa Kappa Gamma. The driver (University of Nebraska student) left the scene and later found by Law enforcement. Driver was cited for Negligent Driving and released.
17001560,TRAFFIC - SUSPENDED DRIVER,4/20/2017 15:36,Closed - Cleared by Arrest-Adult,4/20/2017 15:36,,N/A,N ANTELOPE VALLEY PKWY & VINE ST (STREET),$0.00,$0.00,University of Nebraska Police conducted a traffic stop after viewing the driver had a revoked license. The driver (non-UNL affiliate) was found in violation of driving under revocation and was subsequently cited/released.
17001561,TRESPASSING,4/20/2017 17:44,Closed - Non-Criminal Case,,,Nebraska Union,"1400 R St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,University police were contacted in reference to a suspicious person making shooting gestures at pedestrians walking by. This person was contacted and determined not to be a threat at this time. No victims or law violation was found and a trespass policy letter was given.
17001562,ALCOHOL - DWI,4/20/2017 23:24,Closed - Cleared by Arrest-Adult,4/20/2017 23:24,,N/A,N ANTELOPE VALLEY PKWY & MILITARY RD (STREET),$0.00,$0.00,"A 19 year old student was contacted on a traffic stop.  Cited/released for .02 violation (BAC .053), MIP-C, and No Headlights after Dark."
17001563,LARCENY - STOLEN BIKE,4/21/2017 1:17,Closed - Inactive,4/19/2017 20:00,4/20/2017 10:30,Hamilton Hall,639 N 12th St (UNL ACADEMIC BUILDING),$520.00,$0.00,A student reports falling victim to a theft of his bicycle.
17001564,ALCOHOL - DRUNK,4/21/2017 2:24,Closed - Non-Criminal Case,4/21/2017 2:24,,Nebraska Union,1400 R St (SIDEWALK),$0.00,$0.00,A non-affiliate was placed into civil protective custody and transported to The Bridge with a BAC of .253.
17001565,TRESPASSING,4/21/2017 2:47,Closed - Non-Criminal Case,4/21/2017 2:47,,Love Library North & Link,"1300 R St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,A non-affiliate was issued a Trespass Policy letter.
17001573,DISTURBANCE - OTHER,4/21/2017 10:00,Closed - Non-Criminal Case,,,UNL Police,"300 N 17th St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,UPD received the report of a belated disturbance which was later determined to be a civil matter.
17001572,ACCIDENTS - P.D. NOT REPORTABLE,4/21/2017 10:19,Closed - Non-Criminal Case,4/21/2017 10:14,,Andersen Hall,200 Centennial Mall N (OTHER LOT/FIELD),$0.00,"$5,500.00",Officer responded to an accident with no injuries. One non-University of Nebraska affiliate and an University student were involved; no citations were issued. Case closed.
17001575,OUTSIDE - O.P.S. OTHER,4/21/2017 11:21,Closed - Inactive,,,N/A,(UNKNOWN),$0.00,$0.00,UPD received information regarding a possible belated crime occurring outside jurisdiction; case information to be forwarded to local law enforcement agency.
17001577,OUTSIDE CRIME - REPORTS OUTSIDE JURISDICTION,4/21/2017 12:00,Closed - Inactive,4/18/2017 14:30,,N/A,"2021 Transformation Drive (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,University students were disturbed by comments made to them by a bus driver (NON University Affiliate). Case is referred to the Title IX office and no criminal action was found.
17001578,LOST OR STOLEN ITEM,4/21/2017 15:50,Closed - Non-Criminal Case,4/20/2017 11:00,4/21/2017 15:50,Avery Hall,1144 T St (UNL ACADEMIC BUILDING),"$1,200.00",$0.00,University student reported that their laptop was stolen from a classroom in Avery Hall. There are no suspects at this time.
17001852,DISTURBANCE - OTHER,4/22/2017 0:11,Closed - Cleared by Arrest-Adult,4/22/2017 0:11,,The 50-50,1801 R St (MULTI-DWELLING (7 + UNITS) off campus),$0.00,$0.00,Officers responded to a 911 call originating from the 50/50 building. Officers contacted two University students who were found to be intoxicated. One was released to a sober party and the other was transported to The Bridge (.123 BAC) and cited/released for a Fake ID.
17001604,ALCOHOL - MINOR IN POSSESSION,4/23/2017 1:19,Closed - Cleared by Arrest-Adult,4/23/2017 1:19,,The Courtyards,733 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,A report of an alcohol violation occurring at The Courtyard apartments. Six Nebraska students were cited and released for MIP-C.
17001603,ALCOHOL - DRUNK,4/23/2017 3:22,Closed - Non-Criminal Case,4/23/2017 1:02,,Eastside Suites,433 N 19th St (UNL RESIDENCE HALL),$0.00,$0.00,A report of an intoxicated female at The Eastside Suites. A Nebraska student was transported to a local area hospital due to alcohol intoxication. Upon the females release they were transported to The Bridge for further care.
17001607,ALCOHOL - DRUNK,4/23/2017 5:10,Closed - Cleared by Arrest-Adult,4/23/2017 5:10,,University Suites,1780 R St (UNL RESIDENCE HALL),$0.00,$0.00,A non-affiliate male was contacted at the University Suites and found to have an active warrant. The male was lodged on the warrant and cited/released for MIP.
17001611,DISTURBANCE - OTHER,4/23/2017 14:00,Closed - Non-Criminal Case,4/23/2017 13:25,,The 50-50,1801 R St (GOV'T PARKING GARAGE (UNL)),$0.00,$0.00,Student approached by male who made them uncomfortable.
17001612,LOST OR STOLEN ITEM,4/23/2017 14:53,Closed - Inactive,4/20/2017 17:30,4/22/2017 14:00,Breslow Ice Center,"433 V St (UNL SUPPORT FACILITY (office, service))",$950.00,$0.00,Non affiliate stated that their ice skates were missing.
17001616,NARCOTICS - POSSESSION,4/24/2017 1:16,Closed - Cleared by Arrest-Adult,4/24/2017 0:29,,Abel Hall,880 N 17th St (UNL RESIDENCE HALL),$0.00,$0.00,A report of narcotic activity at Abel Hall. A Nebraska student was cited/released for Possession of Drug Paraphernalia and MIP.
17001617,TRESPASSING,4/24/2017 1:43,Closed - Inactive,4/24/2017 1:43,,Smith Hall,1120 N 14th St (UNL RESIDENCE HALL),$0.00,$0.00,A report of a male trespassing at Smith Hall. The male was contacted by an Officer and issued a Trespass Policy Letter. The male was escorted out of Smith Hall and allowed to leave.
17001645,VANDALISM - OTHER,4/26/2017 11:49,Closed - Inactive,4/22/2017 15:10,4/22/2017 15:30,14th & Avery Parking Garage,1111 N 14th St (GOV'T PARKING GARAGE (UNL)),$0.00,$300.00,University staff reported a possible belated vandalism.
17001651,MEDICAL EMERGENCY,4/26/2017 18:36,Closed - Non-Criminal Case,4/26/2017 18:36,,Mabel Lee Hall,"840 N 14th St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Non affiliate injured elbow.
17001653,TRAFFIC - SUSPENDED DRIVER,4/26/2017 20:00,Closed - Cleared by Arrest-Adult,4/26/2017 20:00,,N/A,N ANTELOPE VALLEY PKWY & N 17TH ST (STREET),$0.00,$0.00,Non affiliate stopped for improper turn. Driver found to be suspended. Cited and lodged for suspended and cited for Make Improper Turn.
17001654,LARCENY - STOLEN BIKE,4/26/2017 21:15,Closed - Inactive,4/26/2017 21:10,4/20/2017 21:00,Eastside Suites,433 N 19th St (SIDEWALK),$250.00,$20.00,A student reports falling victim to a larceny of his bicycle.  Investigation continues.
17001656,LARCENY - STOLEN BIKE,4/26/2017 22:32,Closed - Inactive,4/26/2017 17:00,4/26/2017 22:00,Memorial Stadium,1100 T St (SIDEWALK),$155.00,$0.00,A student reports falling victim to a larceny of his bicycle.  Investigation continues.
17001659,BURGLARY,4/27/2017 8:14,Closed - Inactive,4/26/2017 15:30,4/27/2017 6:00,N/A,1710 Arbor Drive (CONSTRUCTION SITE),$0.00,$5.00,Construction company reported a belated burglary from construction site.
17001660,LARCENY - OTHER OR FROM OPEN AREA,4/27/2017 8:14,Closed - Inactive,4/26/2017 15:30,4/27/2017 6:00,N/A,1710 Arbor Drive (CONSTRUCTION SITE),$170.00,$0.00,Construction company reported missing items from a belated burglary.
17001662,BURGLARY,4/27/2017 8:14,Closed - Inactive,4/26/2017 16:30,4/27/2017 6:00,N/A,1710 Arbor Drive (CONSTRUCTION SITE),$545.00,$0.00,Construction company reported several items missing from a belated burglary.
17001663,BURGLARY,4/27/2017 8:14,Closed - Inactive,4/26/2017 15:30,4/27/2017 6:00,N/A,1710 Arbor Drive (CONSTRUCTION SITE),$500.00,$0.00,Construction worker reported items missing after a burglary.
17001664,BURGLARY,4/27/2017 8:14,Closed - Inactive,4/26/2017 15:30,4/27/2017 6:00,N/A,1710 Arbor Drive (CONSTRUCTION SITE),$600.00,$0.00,Construction worker reported items missing from a belated burglary.
17001665,BURGLARY,4/27/2017 8:14,Closed - Inactive,4/26/2017 15:30,4/27/2017 6:00,N/A,1710 Arbor Drive (CONSTRUCTION SITE),$410.00,$0.00,Construction worker reported items missing after a belated burglary.
17001666,BURGLARY,4/27/2017 8:14,Closed - Inactive,4/26/2017 15:30,4/27/2017 6:00,N/A,1710 Arbor Drive (CONSTRUCTION SITE),$40.00,$0.00,Construction worker reported a tool missing after a belated burglary.
17001667,BURGLARY,4/27/2017 8:14,Closed - Inactive,4/26/2017 15:30,4/27/2017 6:00,N/A,1710 Arbor Drive (CONSTRUCTION SITE),$180.00,$0.00,Construction worker reported items missing after a belated burglary.
17001668,BURGLARY,4/27/2017 8:14,Closed - Inactive,4/26/2017 15:30,4/27/2017 6:00,N/A,1710 Arbor Drive (CONSTRUCTION SITE),$80.00,$0.00,Construction worker missing items after a belated burglary.
17001669,BURGLARY,4/27/2017 8:14,Closed - Inactive,4/26/2017 15:30,4/27/2017 6:00,N/A,1710 Arbor Drive (CONSTRUCTION SITE),$40.00,$0.00,Construction worker reported missing items after a belated burglary.
17001673,BURGLARY,4/27/2017 8:14,Closed - Inactive,4/26/2017 15:30,4/27/2017 6:00,N/A,1710 Arbor Drive (CONSTRUCTION SITE),$300.00,$0.00,Construction worker reported items missing after a belated burglary.
